source_series,series,entry_kind,wiki_title,full_name,status,type,subtype,operator_jp,operator_en,commons_root_category,submodel,bandai,special_formation,special_livery
HOT3500形,HOT3500形,new,智頭急行HOT3500形気動車,智頭急行HOT3500形気動車,現役,気動車,一般形,智頭急行,Chizu Express,Chizu Express HOT 3500 series
HOT7000系,HOT7000系,new,智頭急行HOT7000系気動車,智頭急行HOT7000系気動車,現役,気動車,特急形,智頭急行,Chizu Express,Chizu Express HOT 7000 series
KTR001形,KTR001形,new,北近畿タンゴ鉄道KTR001形気動車,北近畿タンゴ鉄道KTR001形気動車,廃止,気動車,特急形,京都丹後鉄道,Kyoto Tango Railway,Kitakinki Tango Railway KTR 001
MF100・200形,MF100・200形,new,宮福鉄道MF100形気動車,宮福鉄道MF100・MF200形気動車,現役,気動車,一般形,京都丹後鉄道,Kyoto Tango Railway,Miyafuku Railway MF100/200
KTR300形,KTR300形,new,北近畿タンゴ鉄道KTR300形気動車,北近畿タンゴ鉄道KTR300形気動車,現役,気動車,一般形,京都丹後鉄道,Kyoto Tango Railway,Kitakinki Tango Railway KTR 300
KTR700・800形,KTR700・800形,new,北近畿タンゴ鉄道KTR700形気動車,北近畿タンゴ鉄道KTR700・KTR800形気動車,現役,気動車,一般形,京都丹後鉄道,Kyoto Tango Railway,Kitakinki Tango Railway KTR 700/800
KTR8000形,KTR8000形,new,北近畿タンゴ鉄道KTR8000形気動車,北近畿タンゴ鉄道KTR8000形気動車,現役,気動車,特急形,京都丹後鉄道,Kyoto Tango Railway,Kitakinki Tango Railway KTR 8000
ET122形,キハ122系,merge,えちごトキめき鉄道ET122形気動車,えちごトキめき鉄道ET122形気動車,現役,気動車,一般形,えちごトキめき鉄道,Echigo Tokimeki Railway,ET122
ET127系,E127系,merge,JR東日本E127系電車#えちごトキめき鉄道ET127系,えちごトキめき鉄道ET127系電車,現役,電車,通勤形,えちごトキめき鉄道,Echigo Tokimeki Railway,ET127
HK100形,HK100形,new,北越急行HK100形電車,北越急行HK100形電車,現役,電車,近郊形,北越急行,Hokuetsu Express,Hokuetsu Express 100 series
HSOR-100・150形,HSOR-100形,new,肥薩おれんじ鉄道HSOR-100形気動車,肥薩おれんじ鉄道HSOR-100・150形気動車,現役,気動車,一般形,肥薩おれんじ鉄道,Hisatsu Orange Railway,Hisatsu Orange Railway HSOR-100 series
TKT-8000形,TKT-8000形,new,土佐くろしお鉄道TKT-8000形気動車,土佐くろしお鉄道TKT-8000形気動車,現役,気動車,一般形,土佐くろしお鉄道,Tosa Kuroshio Railway,Tosa Kuroshio Railway TKT8000 series
9640形,9640形,new,土佐くろしお鉄道9640形気動車,土佐くろしお鉄道9640形気動車,現役,気動車,一般形,土佐くろしお鉄道,Tosa Kuroshio Railway,Tosa Kuroshio Railway 9640 series
6000形,6000形,new,鹿島臨海鉄道6000形気動車,鹿島臨海鉄道6000形気動車,現役,気動車,一般形,鹿島臨海鉄道,Kashima Rinkai Railway,KRT 6000 series
7000形,7000形,new,鹿島臨海鉄道7000形気動車,鹿島臨海鉄道7000形気動車,廃止,気動車,一般形,鹿島臨海鉄道,Kashima Rinkai Railway,KRT 7000 series
8000形,8000形,new,鹿島臨海鉄道8000形気動車,鹿島臨海鉄道8000形気動車,現役,気動車,一般形,鹿島臨海鉄道,Kashima Rinkai Railway,KRT 8000 series
36-100形,36-100形,new,三陸鉄道36-100形気動車,三陸鉄道36-100形気動車,現役,気動車,一般形,三陸鉄道,Sanriku Railway,Sanriku Railway 36-100
36-200形,36-100形,merge,三陸鉄道36-100形気動車,三陸鉄道36-200形気動車,現役,気動車,一般形,三陸鉄道,Sanriku Railway,Sanriku Railway 36-200
36-R形,36-R形,new,三陸鉄道36-R形気動車,三陸鉄道36-R形気動車,現役,気動車,一般形,三陸鉄道,Sanriku Railway,Sanriku Railway 36-R
36-700形,36-700形,new,三陸鉄道36-700形気動車,三陸鉄道36-700形気動車,現役,気動車,一般形,三陸鉄道,Sanriku Railway,Sanriku Railway 36-700
青い森701系,701系,merge,JR東日本701系電車#青い森鉄道青い森701系,青い森鉄道青い森701系電車,現役,電車,近郊形,青い森鉄道,Aoimori Railway,Aoimori 701 series
青い森703系,E721系,merge,JR東日本E721系電車#青い森鉄道青い森703系,青い森鉄道青い森703系電車,現役,電車,近郊形,青い森鉄道,Aoimori Railway,Aoimori 703 series
IGR7000系,701系,merge,JR東日本701系電車#IGRいわて銀河鉄道IGR7000系,IGRいわて銀河鉄道IGR7000系電車,現役,電車,近郊形,IGRいわて銀河鉄道,Iwate Galaxy Railway,IGR 7000 series
01系,東京メトロ01系,new,営団01系電車,東京地下鉄01系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 01 series
02系,東京メトロ02系,new,営団02系電車,東京地下鉄02系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 02 series
03系,東京メトロ03系,new,営団03系電車,東京地下鉄03系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 03 series
05系,東京メトロ05系,new,営団05系電車,東京地下鉄05系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 05 series
06系,東京メトロ06系,new,営団06系電車,東京地下鉄06系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 06 series
07系,東京メトロ07系,new,営団07系電車,東京地下鉄07系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 07 series
08系,東京メトロ08系,new,営団08系電車,東京地下鉄08系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 08 series
1000系,東京メトロ1000系,new,東京メトロ1000系電車,東京地下鉄1000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 1000 series
2000系,東京メトロ2000系,new,東京メトロ2000系電車,東京地下鉄2000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 2000 series
5000系,東京メトロ5000系,new,営団5000系電車,東京地下鉄5000系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 5000 series
6000系,東京メトロ6000系,new,営団6000系電車,東京地下鉄6000系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 6000 series
7000系,東京メトロ7000系,new,営団7000系電車,東京地下鉄7000系電車,廃止,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 7000 series
8000系,東京メトロ8000系,new,営団8000系電車,東京地下鉄8000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 8000 series
9000系,東京メトロ9000系,new,営団9000系電車,東京地下鉄9000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 9000 series
10000系,東京メトロ10000系,new,東京メトロ10000系電車,東京地下鉄10000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 10000 series
13000系,東京メトロ13000系,new,東京メトロ13000系電車,東京地下鉄13000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 13000 series
15000系,東京メトロ15000系,new,東京メトロ15000系電車,東京地下鉄15000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 15000 series
16000系,東京メトロ16000系,new,東京メトロ16000系電車,東京地下鉄16000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 16000 series
17000系,東京メトロ17000系,new,東京メトロ17000系電車,東京地下鉄17000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 17000 series
18000系,東京メトロ18000系,new,東京メトロ18000系電車,東京地下鉄18000系電車,現役,電車,通勤形,東京地下鉄,Tokyo Metro,Tokyo Metro 18000 series
5000形,都営5000形,new,東京都交通局5000形電車 (鉄道),東京都交通局5000形電車,廃止,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 5000 series
5200形,都営5200形,new,東京都交通局5000形電車 (鉄道)#5200形,東京都交通局5200形電車,廃止,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 5200 series
5300形,都営5300形,new,東京都交通局5300形電車,東京都交通局5300形電車,廃止,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 5300 series
5500形,都営5500形,new,東京都交通局5500形電車 (鉄道),東京都交通局5500形電車,現役,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 5500 series
6000形,都営6000形,new,東京都交通局6000形電車 (鉄道),東京都交通局6000形電車,廃止,電車,通勤形,東京都交通局,Tokyo Metropolitan Bureau of Transportation,Toei 6000 series
